uni,school,course,year,Places,GPA,RP,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,university,summary_row,course_row
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2013,1562.0,3.68,77.5,86.6,74.6,3057.0,3200.0,3154.0,3200.0,2800.0,3500.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2014,1591.0,3.76,76.25,83.1,76.6,3141.0,3210.0,3277.0,3300.0,3000.0,3600.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2015,1540.0,3.74,76.25,83.0,70.5,3266.0,3310.0,3310.0,3310.0,3000.0,3625.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2016,1559.0,3.73,78.75,90.7,74.1,3258.0,3300.0,3321.0,3500.0,3000.0,3600.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2017,1474.0,3.74,76.25,88.2,66.7,3309.0,3300.0,3391.0,3360.0,3000.0,3600.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2018,1645.0,3.74,73.75,87.5,60.8,3290.0,3300.0,3377.0,3300.0,3000.0,3600.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2019,1510.0,3.67,75.0,92.7,68.2,3421.0,3500.0,3537.0,3500.0,3250.0,3800.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2020,1234.0,3.63,76.25,93.1,54.2,3529.0,3500.0,3586.0,3500.0,3300.0,3854.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2021,2100.0,3.79,78.75,88.8,68.3,3619.0,3500.0,3731.0,3650.0,3400.0,3983.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2022,1971.0,3.67,77.5,87.5,74.4,3889.0,3850.0,4034.0,4000.0,3500.0,4390.0,National University of Singapore,0,1
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2023,1949.0,3.62,78.75,86.5,73.6,3926.0,3930.0,4083.0,4008.0,3500.0,4500.0,National University of Singapore,0,1
