uni,school,course,year,Places,GPA,RP,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,university,Column 17,Column 18,Column 19,Column 20
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2013,1562,3.68,77.5,86.6,74.6,3057,3200,3154,3200,2800,3500,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2014,1591,3.76,76.25,83.1,76.6,3141,3210,3277,3300,3000,3600,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2015,1540,3.74,76.25,83,70.5,3266,3310,3310,3310,3000,3625,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2016,1559,3.73,78.75,90.7,74.1,3258,3300,3321,3500,3000,3600,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2017,1474,3.74,76.25,88.2,66.7,3309,3300,3391,3360,3000,3600,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2018,1645,3.74,73.75,87.5,60.8,3290,3300,3377,3300,3000,3600,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2019,1510,3.67,75,92.7,68.2,3421,3500,3537,3500,3250,3800,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2020,1234,3.63,76.25,93.1,54.2,3529,3500,3586,3500,3300,3854,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2021,2100,3.79,78.75,88.8,68.3,3619,3500,3731,3650,3400,3983,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2022,1971,3.67,77.5,87.5,74.4,3889,3850,4034,4000,3500,4390,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2023,1949,3.62,78.75,86.5,73.6,3926,3930,4083,4008,3500,4500,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Arts (Hons),2024,1893,3.61,78.75,83,67.4,4219,4300,4476,4419,4000,4830,,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2013,1562,3.68,77.5,88.1,76.8,3098,3100,3210,3200,2800,3500,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2014,1591,3.76,76.25,88.7,80.1,3192,3200,3304,3250,3000,3600,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2015,1540,3.74,76.25,88.6,79.8,3317,3300,3442,3310,3000,3686,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2016,1559,3.73,78.75,89.5,73.3,3341,3300,3423,3300,3000,3650,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2017,1474,3.74,76.25,88.3,74.7,3365,3300,3443,3300,3000,3750,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2018,1645,3.74,73.75,88.2,74.5,3459,3400,3526,3400,3200,3800,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2019,1510,3.67,75,88,75.9,3590,3500,3674,3500,3212,3850,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2020,1234,3.63,76.25,93.5,65.3,3597,3500,3666,3500,3345,3875,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2021,2100,3.79,78.75,92.5,78.2,3757,3531,3850,3600,3400,4100,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2022,1971,3.67,77.5,92.3,81.1,3935,3650,4056,3795,3500,4350,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2023,1949,3.62,78.75,89,80.7,4173,4000,4304,4015,3720,4500,National University of Singapore,,,,
NUS,Faculty of Arts and Social Sciences,Social Sciences,2024,1893,3.61,78.75,86.1,73.9,4294,4150,4462,4210,3820,4800,,,,,
NUS,Faculty of Dentistry,Dentistry,2013,54,,85,100,100,4106,4000,4106,4000,4000,4400,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2014,54,,85,100,100,4054,4000,4054,4000,4000,4020,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2015,54,3.96,85,100,100,4053,4000,4083,4000,4000,4400,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2016,54,,85,100,100,4173,4050,4221,4050,4050,4450,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2017,54,,85,100,100,4124,4050,4143,4050,4000,4400,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2018,60,,85,100,100,4148,4050,4228,4050,4000,4450,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2019,60,,85,100,97.3,4057,4200,4068,4200,4000,4500,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2020,72,,85,100,100,4202,4200,4280,4200,4200,4600,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2021,81,,85,100,100,4256,4200,4286,4200,4200,4600,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2022,80,,85,100,100,4331,4200,4331,4200,4200,4600,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2023,80,,85,100,100,4586,4550,4589,4550,4500,4950,National University of Singapore,,,,
NUS,Faculty of Dentistry,Dentistry,2024,80,,85,100,100,4600,4550,4641,4550,4550,4950,,,,,
