Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1,NTU Courses | Admitted Batch >,2023/2024,2022/2023,2021/2022,2020/2021,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013,2011/2012,2010/2011,2009/2010,2008/2009
2,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine,Lee Kong Chian School of Medicine
3,Medicine*,AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),,,,,
4,Medicine*,#,#,#,#,#,#,#,#,#,#,#,,,,,
5,Medicine*,150,167,168,162,149,138,120,108,90,78,54,,,,,
6,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering,College of Engineering
7,Renaissance Engineering*,AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),,,
8,Renaissance Engineering*,#,#,#,#,#,#,#,#,#,#,#,#,#,,,
9,Renaissance Engineering*,54,40,37,51,55,55,60,68,58,56,42,56,36,,,
10,Aerospace Engineering,CCC/C (67.5),AAC/B (78.75),AAC/B (78.75),AAB/C (80),AAA/C (82.5),AAA/B (83.75),AAA/A (85),AAA/B (83.75),AAA/B (83.75),AAA/B (83.75),AAB/B (81.25),AAA/B (83.75),AAA/B (83.75),AAA/B (83.75),AAA/B (83.75),AAA/B (83.75)
11,Aerospace Engineering,3.69,3.55,3.82,3.80,3.49,3.83,3.88,3.74,3.88,3.81,3.85,#,#,#,#,#
12,Aerospace Engineering,135,131,168,144,124,142,102,130,136,132,102,97,69,88,96,87
13,Bioengineering,BCC/D (68.75),BBC/C (72.5),ABC/C (75),BCC/B (71.25),BCC/B (71.25),BCC/D (68.75),BBC/D (71.25),BBC/D (71.25),BBC/D (71.25),BBC/C (72.5),BCC/D (68.75),BCC/C (70),BBC/B (73.75),BBC/A (75),BBC/A (75),BBC/B (73.75)
14,Bioengineering,3.52,3.57,3.53,3.63,3.69,3.55,3.47,3.45,3.42,3.61,3.34,3.44,3.46,3.48,3.30,3.50
15,Bioengineering,138,85,95,111,102,112,94,78,88,88,86,107,108,138,112,68
16,Chemical & Biomolecular Engineering,BCC/C (70),BBC/C (72.5),ABC/C (75),BBC/B (73.75),AAC/C (77.5),AAB/B (81.25),AAA/C (82.5),AAA/C (82.5),AAB/C (80),AAB/B (81.25),AAB/B (81.25),AAB/B (81.25),AAB/B (81.25),AAA/A (85),AAA/B (83.75),ABB/A (80)
17,Chemical & Biomolecular Engineering,3.47,3.71,3.48,3.61,3.67,3.81,3.69,3.85,3.64,3.81,3.48,3.57,3.68,3.67,3.67,3.81
18,Chemical & Biomolecular Engineering,150,162,193,173,174,155,143,143,190,201,224,159,160,170,203,162
19,Civil Engineering,CCD/D (63.75),CCD/D (63.75),CCD/D (63.75),CDD/C (62.5),CCC/D (66.25),CCC/C (67.5),BCC/D (68.75),CCC/D (66.25),BCC/D (68.75),BCC/D (68.75),CCC/D (66.25),BCC/D (68.75),BCC/B (71.25),BCC/B (71.25),BCC/C (70),CCC/C (67.5)
20,Civil Engineering,3.43,3.49,3.45,3.50,3.44,3.49,3.71,3.73,3.55,3.5,3.49,3.54,3.54,3.44,3.34,#
21,Civil Engineering,139,130,130,144,120,130,125,136,147,154,153,134,132,143,112,106
22,Electrical & Electronic Engineering,CCD/C (65),CCD/C (65),CCC/D (66.25),CDD/C (62.5),BCC/D (68.75),BCC/B (71.25),BCC/C (70),CCC/C (67.5),CCD/C (65),CCD/C (65),CCD/C (65),BCC/D (68.75),BCC/C (70),BCC/B (71.25),BCC/C (70),BCC/C (70)
23,Electrical & Electronic Engineering,3.44,3.44,3.45,3.40,3.43,3.49,3.56,3.47,3.44,3.44,3.37,3.47,3.51,3.57,3.39,3.35
24,Electrical & Electronic Engineering,652,620,647,648,608,570,525,597,644,608,624,606,631,672,721,689
25,Engineering,CCD/D (63.75),CCC/C (67.5),CCD/C (65),CCD/D (63.75),CCC/C (67.5),BCC/D (68.75),BCC/D (68.75),BCC/C (70),BCC/D (68.75),BCC/D (68.75),CCD/C (65),BCC/D (68.75),BCC/C (70),BCC/B (71.25),BCC/B (71.25),CCC/D (66.25)
26,Engineering,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
27,Engineering,70,45,53,43,33,37,42,55,57,77,82,66,78,108,139,137
28,Environmental Engineering,BCC/D (68.75),BCC/D (68.75),BCC/D (68.75),CCC/C (67.5),BCC/D (68.75),BCC/C (70),BBC/D (71.25),BBC/D (71.25),BBC/D (71.25),BBC/D (71.25),BCC/B (71.25),BCC/C (70),ABB/A (80),AAB/B (81.25),ABB/B (78.75),ABB/B (78.75)
29,Environmental Engineering,3.50,3.56,3.50,3.46,3.46,3.51,3.63,3.64,3.70,3.74,3.50,3.66,3.61,3.57,3.22,3.29
30,Environmental Engineering,54,51,57,58,35,49,48,46,51,53,58,45,76,76,135,78
