Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1,NUS Courses | Admitted Batch >,2023/2024,2022/2023,2021/2022,2020/2021,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013,2011/2012,2010/2011,2009/2010,2008/2009
2,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law,Faculty of Law
3,Law*,AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85)
4,Law*,3.75,3.82,3.87,3.81,3.86,3.77,3.80,3.84,3.83,3.79,#,#,#,#,#,#
5,Law*,233,244,234,219,223,250,227,237,253,242,244,262,239,240,255,231
6,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine,School of Medicine
7,Medicine*,AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85)
8,Medicine*,3.78,3.86,3.82,3.89,3.94,#,3.91,3.92,3.92,3.87,#,#,#,#,#,#
9,Medicine*,280,294,303,315,280,299,303,302,300,301,300,300,280,260,260,260
10,Nursing*,CCD/B (66.25),CCD/B (66.25),CCC/C (67.5),CCD/B (66.25),CCD/B (66.25),CCC/C (67.5),CCC/B (68.75),BCC/C (70),CCC/B (68.75),CCC/B (68.75),CCC/B (68.75),BCC/C (70),BCC/B (71.25),BCC/B (71.25),CCC/B (68.75),CDD/C (62.5)
