Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1,SMU Courses | Admitted Batch >,2023/2024,2022/2023,2021/2022,2020/2021,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016,2014/2015,2013/2014,2012/2013,2011/2012,2010/2011,2009/2010,2008/2009
2,Accountancy,BBC/C (72.5),BBC/C (72.5),BBC/C (72.5),BBC/C (72.5),ABB/C (77.5),AAB/B (81.25),AAB/B (81.25),AAB/B (81.25),AAB/C (80),AAB/B (81.25),AAB/C (80),AAB/B (81.25),AAB/A (82.5),AAB/B (81.25),AAB/B (81.25),ABB/A (80)
3,Accountancy,3.63,3.63,3.54,3.53,3.68,3.70,3.70,3.72,3.71,3.72,3.72,3.73,3.78,3.76,3.77,3.60
4,Accountancy,272,317,348,333,349,301,292,292,299,308,282,303,275,258,288,270
5,Business Management,BBB/C (75),BBB/B (76.25),BBB/B (76.25),BBB/C (75),ABB/C (77.5),ABB/C (77.5),ABB/C (77.5),ABB/C (77.5),BBB/B (76.25),BBB/B (76.25),BBB/B (76.25),BBB/B (76.25),ABB/B (78.75),ABB/C (77.5),ABB/C (77.5),ABB/B (78.75)
6,Business Management,3.70,3.70,3.68,3.66,3.68,3.70,3.70,3.72,3.70,3.71,3.72,3.72,3.71,3.62,3.52,3.49
7,Business Management,960,880,894,880,840,798,764,760,772,739,762,760,722,699,704,677
8,Law,AAA/A (85),AAA/A (85),AAA/B (83.75),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/A (85),AAA/B (83.75)
9,Law,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
10,Law,212,175,187,168,174,169,170,163,154,155,161,115,126,115,128,125
11,Economics,BBC/B (73.75),BBC/B (73.75),BBC/C (72.5),BCC/C (70),BBC/A (75),BBC/B (73.75),BBC/B (73.75),BBC/B (73.75),BBC/C (72.5),BBC/B (73.75),BBC/C (72.5),BBC/C (72.5),AAB/C (80),AAB/B (81.25),ABB/C (77.5),BBB/B (76.25)
12,Economics,3.61,3.61,3.51,3.53,3.69,3.70,3.70,3.72,3.71,3.72,3.71,3.70,3.60,3.55,3.52,3.30
13,Economics,199,218,257,263,264,267,241,252,254,254,257,271,203,221,234,205
14,Information Systems Management,BBB/C (75),BBB/C (75),BBB/C (75),BBC/B (73.75),BBC/B (73.75),BBC/B (73.75),BBC/B (73.75),BBC/C (72.5),BCC/C (70),BCC/D (68.75),BCC/C (70),BCC/C (70),BCC/B (71.25),BCC/C (70),BCC/C (70),BCC/B (71.25)
15,Information Systems Management,3.71,3.71,3.70,3.53,3.57,3.52,3.57,3.54,3.50,3.52,3.53,3.53,3.52,3.44,3.23,3.16
16,Information Systems Management,391,389,417,447,448,413,317,273,278,275,266,282,280,278,273,255
17,Computer Science,AAB/A (82.5),AAB/A (82.5),AAB/B (81.25),ABB/A (80),AAB/B (81.25),,,,,,,,,,,
18,Computer Science,3.81,3.80,3.80,3.75,3.75,,,,,,,,,,,
19,Computer Science,141,154,93,105,49,,,,,,,,,,,
20,Computing & Law,ABB/A (80),ABB/A (80),ABB/A (80),ABB/A (80),,,,,,,,,,,,
21,Computing & Law,#,#,#,#,,,,,,,,,,,,
22,Computing & Law,24,30,25,21,,,,,,,,,,,,
23,Software Engineering (WSDeg),BBB/C (75),BBB/C (75),,,,,,,,,,,,,,
24,Software Engineering (WSDeg),3.71,3.71,,,,,,,,,,,,,,
25,Software Engineering (WSDeg),34,37,,,,,,,,,,,,,,
26,Social Sciences,BBB/C (75),BBB/C (75),BBB/B (76.25),BBC/B (73.75),BBC/B (73.75),BBC/B (73.75),BBC/B (73.75),BBC/B (73.75),BBC/C (72.5),BBC/C (72.5),BBC/C (72.5),BBC/C (72.5),BBB/C (75),BBB/B (76.25),BBC/B (73.75),BBC/B (73.75)
27,Social Sciences,3.62,3.67,3.65,3.66,3.66,3.70,3.70,3.71,3.71,3.70,3.72,3.61,3.63,3.54,3.35,3.28
28,Social Sciences,277,192,237,232,244,237,234,236,201,204,205,215,141,135,153,130
29,Deferred Declaration of Degree (College of Integrative Studies),ABB/B (78.75),,,,,,,,,,,,,,,
30,Deferred Declaration of Degree (College of Integrative Studies),3.74,,,,,,,,,,,,,,,
31,Deferred Declaration of Degree (College of Integrative Studies),62,,,,,,,,,,,,,,,
