year,mean_NTU,mean_NUS,mean_SMU,median_NTU,median_NUS,median_SMU,count_NTU,count_NUS,count_SMU
2013,1.2,1.3077777777777777,1.2666666666666666,1.2,1.3233333333333333,1.2666666666666666,2.0,3.0,1.0
2014,1.2104166666666667,1.2633414793092212,1.3333333333333333,1.2104166666666667,1.275,1.3333333333333333,2.0,3.0,1.0
2015,1.2281746031746033,1.3309763993316626,1.284375,1.2281746031746033,1.3333333333333333,1.284375,2.0,3.0,1.0
2016,1.3262121212121212,1.3546064131653328,1.3021875,1.3262121212121212,1.337295690936107,1.3021875,2.0,3.0,1.0
2017,1.2116977225672878,1.319257723532857,1.267605633802817,1.2116977225672878,1.3276177062374246,1.267605633802817,2.0,4.0,1.0
2018,1.2605042016806722,1.2955128205128206,1.2777777777777777,1.2605042016806722,1.266025641025641,1.2777777777777777,2.0,4.0,1.0
2019,1.2697368421052633,1.2725120052920538,1.25,1.2697368421052633,1.2953086419753086,1.25,2.0,4.0,1.0
2020,1.3122372583629651,1.3244086060997826,1.35,1.3122372583629651,1.321341036414566,1.35,2.0,6.0,1.0
2021,1.2738095238095237,1.2995196557620339,1.2738095238095237,1.2738095238095237,1.2816492450638792,1.2738095238095237,2.0,6.0,1.0
2022,1.3971050642479215,1.331982678576784,1.3119148936170213,1.3811111111111112,1.3190319792566982,1.3119148936170213,3.0,6.0,1.0
2023,1.309281529448042,1.2801934996220712,1.3020833333333333,1.3191489361702127,1.269469387755102,1.3020833333333333,3.0,6.0,1.0
2024,1.319329648526077,1.3270900742115028,1.2860869565217392,1.3265306122448979,1.33535,1.2860869565217392,3.0,6.0,1.0
