year,uni,course,gross_monthly_median
2023,NUS,Law,7.0
2023,SMU,Law,7.0
2023,NUS,Computer Science,6.333
2023,NUS,Computer Engineering,5.595
2023,NUS,Information Systems,5.5
2023,NUS,Information Security,5.5
2023,NUS,Business Analytics,5.5
2023,NTU,Computer Engineering,5.4
2023,SMU,Information Systems,5.4
2023,NTU,Data Science & Artificial Intelligence,5.25
2023,NTU,Computer Science,5.2
2023,SMU,SMU 75th Percentile,5.175
2023,NUS,Data Science and Analytics,5.0
2023,NUS,NUS 75th Percentile,4.9
2023,NUS,Electrical Engineering,4.8
2023,NTU,Electrical and Electronic Engineering,4.8
2023,NUS,Business Administration (Hons),4.8
2023,NTU,Information Engineering and Media,4.8
2023,NTU,Aerospace Engineering,4.763
2023,,Overall 75th Percentile,4.64075
2023,NUS,Industrial and Systems Engineering,4.6
2023,NUS,Dentistry,4.55
2023,NUS,Engineering Science,4.5
2023,SMU,Economics,4.5
2023,NUS,Mechanical Engineering,4.49
2023,SMU,SMU Median,4.468
2023,SMU,Business Management,4.436
2023,NUS,NUS Median,4.405
2023,NUS,Chemical Engineering,4.405
2023,NTU,Mechanical Engineering,4.4
2023,NUS,Materials Science and Engineering,4.346
2023,NTU,Economics,4.314
2023,NTU,Science (Education),4.3
2023,NTU,NTU 75th Percentile,4.28875
2023,NTU,Business,4.255
2023,NTU,Mathematical Sciences,4.25
2023,NUS,Environmental Engineering,4.243
2023,NTU,Public Policy and Global Affairs,4.202
2023,NTU,History,4.2
2023,NTU,Chemical and Biomolecular Engineering,4.2
2023,NTU,Materials Engineering,4.2
2023,,Overall Median,4.2
2023,NTU,Maritime Studies,4.2
2023,NUS,Accountancy (Hons),4.2
2023,NTU,Environmental Earth Systems Science,4.138
2023,NTU,NTU Median,4.1335
2023,NTU,Arts (Education),4.129
2023,NTU,Environmental Engineering,4.115
2023,SMU,SMU 25th Percentile,4.109
2023,NUS,Biomedical Engineering,4.1
2023,NTU,Chinese,4.09
2023,NTU,Bioengineering,4.043
2023,NUS,Social Sciences,4.015
2023,NTU,Sociology,4.008
2023,NUS,Arts (Hons),4.008
2023,NUS,NUS 25th Percentile,4.004
2023,NUS,Environmental Studies,4.0
2023,NUS,Science (Hons),4.0
2023,NUS,Industrial Design,4.0
2023,NUS,Civil Engineering,4.0
2023,NUS,Real Estate,4.0
2023,NUS,Nursing (Hons),4.0
2023,NTU,Civil Engineering,4.0
2023,NTU,NTU 25th Percentile,4.0
2023,SMU,Social Sciences,4.0
2023,,Overall 25th Percentile,4.0
